Priorité,Page,Volume cumulé
1,doua de l'opprimé,16730
2,doua du voyageur (safar),16100
3,doua examen,12950
4,doua pour le mort / défunt,12070
5,doua rupture du jeûne,9140
6,doua du matin,7140
7,doua istikhara,5380
8,doua mariage,5190
9,doua pour un malade (visite),4750
10,doua guérison malade,4590
11,doua pluie,3830
12,doua ramadan (général),3440
13,doua réussite (général),2950
14,doua vendredi,2790
15,doua avant de dormir,2750
16,doua naissance / nouveau-né,2490
17,doua sortir de la maison,2360
18,doua protection (général),2210
19,doua voyage (général),2180
20,doua du soir,2050
21,doua protection mauvais œil,2030
22,doua après la prière,1940
23,doua douleur,1770
24,doua zamzam,1620
25,doua des prophètes (Younous / Moussa...),1540
26,doua angoisse / stress,1530
27,doua ablutions,1440
28,doua entretien / travail,1380
29,doua pour les parents décédés,1340
30,doua pour les parents (vivants),1300
31,doua pardon,1290
32,doua qounout,1270
33,doua moment difficile / épreuve,1240
34,doua nuit du destin,1190
35,doua tristesse,1180
36,doua khatm al-Coran,1170
37,doua mosquée,1130
38,doua accouchement,1010
39,doua orage / tonnerre / vent,1000
40,doua cimetière,990
41,doua Palestine / Gaza,980
42,doua après l'adhan,970
43,doua arafat,960
44,doua omra,870
45,doua objet perdu,860
46,doua nouveau vêtement,840
47,doua révisions / mémorisation,800
48,doua toilettes,750
49,doua injustice / autorités,700
50,doua remercier Allah,690
51,doua repentir (tawba),690
52,doua contre les ennemis,680
53,doua contre la sorcellerie / djinns,660
54,doua avant de manger,650
55,doua hajj,650
56,doua opération chirurgicale,640
57,doua marché / commerce,620
58,doua nouvelle voiture / achat,600
59,doua insomnie / sommeil,540
60,doua Aïd el-Fitr,490
61,doua permis de conduire,480
62,doua fajr,470
63,doua grossesse,470
64,doua dettes,420
65,doua paresse / motivation,410
66,doua argent / richesse,410
67,doua kaaba / tawaf / safa marwa,410
68,doua prosternation (soujoud / sajda),380
69,doua 10 derniers jours ramadan,360
70,doua entrer dans la maison,350
71,doua pour trouver un mari / une femme,340
72,doua protection couple,320
73,doua nouvelle maison,250
74,doua bébé,240
75,doua tarawih,200
76,doua lune / étoile filante,200
77,doua miroir,190
78,doua fin de vie / mourant,190
79,doua cauchemar,180
80,doua peur,170
81,doua Aïd el-Adha,100
82,doua witr,100
83,doua grande ablution (ghusl),90
84,doua Rajab,70
85,doua éternuement,60
86,doua colère,50
87,doua tahajjud,20
88,doua pour les malades cancer / coma,20
