Sujet,Priorité,Volume/mois estimé
Argent / Billets / Or,🔴 HAUTE,6230
Bébé / Nouveau-né / Enfant,🔴 HAUTE,3230
Eau / Piscine / Mer / Nager,🔴 HAUTE,2130
Faire l'amour / Rapports sexuels,🔴 HAUTE,1880
Caca / Uriner / Toilettes,🔴 HAUTE,1470
Couper / Perdre ses cheveux,🔴 HAUTE,1380
Accident de voiture,🔴 HAUTE,1280
Perdre ses dents (variantes),🔴 HAUTE,1100
Personne décédée qui parle,🔴 HAUTE,940
Manger de la viande / Viande,🔴 HAUTE,760
Incendie / Feu,🔴 HAUTE,740
Bague / Bijoux / Diamant,🔴 HAUTE,690
Réciter / Lire le Coran,🔴 HAUTE,580
Lion,🔴 HAUTE,550
Voyage / Voyager,🔴 HAUTE,510
Avoir ses règles,🟠 MOYENNE,480
Chaussures,🟠 MOYENNE,480
Asticot / Ver,🟠 MOYENNE,420
Tortue,🟠 MOYENNE,350
Parfum,🟠 MOYENNE,330
Dispute / Bagarre / Se battre,🟠 MOYENNE,320
Son père,🟠 MOYENNE,320
Aller à la Mecque / Kaaba,🟠 MOYENNE,320
Miel,🟠 MOYENNE,310
Mouton / Agneau,🟠 MOYENNE,310
Tigre,🟠 MOYENNE,300
Prison,🟠 MOYENNE,300
Pain,🟠 MOYENNE,290
Abeille / Guêpe,🟠 MOYENNE,280
Corbeau,🟠 MOYENNE,270
Dattes,🟠 MOYENNE,270
Nager,🟠 MOYENNE,270
Pigeon / Oiseau,🟠 MOYENNE,260
Vomir,🟠 MOYENNE,250
Vache,🟠 MOYENNE,250
Poule / Coq,🟠 MOYENNE,250
Gâteau,🟠 MOYENNE,250
Éléphant,🟠 MOYENNE,240
Âne,🟠 MOYENNE,240
Voler dans les airs,🟠 MOYENNE,230
Président,🟠 MOYENNE,230
Divorce (rêve),🟠 MOYENNE,220
Couteau,🟠 MOYENNE,210
Faire ses ablutions,🟠 MOYENNE,200
Lune,🟡 BASSE,190
Cimetière,🟡 BASSE,180
Couscous,🟡 BASSE,180
Être victime de vol,🟡 BASSE,170
Orange (fruit),🟡 BASSE,160
Figue,🟡 BASSE,160
Quelqu'un qu'on aime,🟡 BASSE,160
Inondation,🟡 BASSE,150
Fausse couche,🟡 BASSE,150
Livre,🟡 BASSE,140
Papillon,🟡 BASSE,130
Guerre,🟡 BASSE,120
Chameau,🟡 BASSE,120
Lapin,🟡 BASSE,110
Grenouille,🟡 BASSE,90
Maison,🟡 BASSE,90
Clé / Clef,🟡 BASSE,80
Aigle,🟡 BASSE,80
Scorpion,🟡 BASSE,80
Charbon,🟡 BASSE,80
Cancer,🟡 BASSE,60
Marabout,🟡 BASSE,60
Loup,🟡 BASSE,60
Singe,🟡 BASSE,60
Hibou / Chouette,🟡 BASSE,60
Faire le ménage,🟡 BASSE,60
